feature|class_label
[-215.79300197978586, 71.6661218577675, -131.8137710605355, -52.09133106039041, -22.115966541692504, -21.764182004937346, -11.18374714512825, 18.91268019506631, 6.726638568856883, 14.55689415517604]|dog_bark
[-424.68685717404645, 110.56227614968253, -54.148235845867745, 62.010736027355364, -0.7095147155200217, 18.157396017050264, 1.445157594187649, 11.161130208486677, -1.7058896956183134, 12.360449903214041]|children_playing
[-459.56466281715973, 122.80034862683691, -47.92470751625572, 53.26569878728791, -1.1398695150689664, 24.77237235517561, 7.980136345176682, 9.674258267261562, -1.0235438946378184, 11.20444901639867]|children_playing
[-414.55377053561494, 102.89690543200295, -36.664954497433754, 54.18040684341127, 0.4860031245128162, 15.697060653389844, 2.155128453716034, 8.10421975907097, -2.4878221316669524, 10.018102159083302]|children_playing
[-447.39699928170836, 115.09538477641466, -53.80910915836541, 61.608590084439804, 1.642597423592149, 26.11286391640621, 1.995066468052984, 10.73907243016504, 2.5962990416696075, 10.635985304372104]|children_playing
[-447.7085495907343, 118.40944486213196, -35.248664006848124, 56.73992941297854, 1.6751781478776475, 26.060945932476187, 5.176453227901716, 12.12812364969997, -1.5120358174800383, 10.201850769526231]|children_playing
[-477.19718465800355, 120.63773157508304, -29.692499791414345, 57.051916735238215, 1.102473395750177, 27.612000837199286, 0.15753495890633384, 12.42704439178475, -1.8909376125396524, 11.17476348906951]|children_playing
[-464.846531023564, 117.71454125058806, -30.16326986042488, 50.722543833337774, -5.6936954289714246, 32.158347213822374, 6.367653586366483, 16.784799474155687, -2.1346442990281407, 13.725745886861102]|children_playing
[-472.12149012994536, 126.76599565150465, -38.36653224477752, 58.74864708262912, -2.761850168609642, 29.186027757386615, 6.480685601542968, 13.91755486200407, 2.0512606544711818, 8.705047935393324]|children_playing
[-196.18526650194698, 114.94506047630023, -14.661184172161498, 1.2298633608203058, -20.730697158254, -4.206900941057286, -40.96612005408855, 4.344551987709858, -18.881565135182605, -3.2857311480180535]|car_horn
[-202.99023875883026, 111.43652018766095, -28.66364502799252, 14.733858717041894, -26.528960135075042, -11.214964048111522, -25.314554561096678, 4.02485655466806, -27.574280197974012, 8.895264763654833]|car_horn
[-206.01171080346236, 90.92227135645611, -25.063508015004146, 29.089556235084704, -25.152765165144935, -5.898692815648882, -18.29543214328446, 0.9546763069556398, -30.319886881375446, 7.9034045422584365]|car_horn
[-204.607400410789, 103.652901538778, -29.975663016889797, 27.4120332021575, -21.248593936585817, -2.749259833791905, -22.983852242901655, 8.34465085353067, -35.837208243246664, 10.3436901138973]|car_horn
[-120.52771887796905, 63.52439498158407, -20.226681501402997, 19.679441606449394, -7.022388091817636, -7.297138981595048, -30.3773621909172, 13.251907894193916, -30.075190365491842, 2.822513392987008]|car_horn
[-275.8914275379905, 101.74320461747902, -91.01682023171846, -4.603029555296785, -0.19049630964163564, -12.795367178065026, -17.27974232856391, 3.273436782775835, -9.62572356194191, 15.37991327675656]|dog_bark
[-294.217069950975, 104.33866907595254, -98.29194658501905, -8.63591370886972, 3.962384015077894, -15.56617300071514, -18.878967491151812, 1.2302050030640548, -10.565390577192332, 12.420598497258323]|dog_bark
